ticker,company,market_cap_usd,area,nct_id,title,status,start_date,primary_completion,enrollment,conditions,interventions,url
FTRE,Fortrea Holdings Inc.,1753168449.2111206,Allergy,NCT06473779,Open-label Study to Assess Reduction of Background Asthma Medication While Sustaining Asthma Control and Clinical Remission With Tezepelumab in Patients 12-80yrs With Severe Asthma.,ACTIVE_NOT_RECRUITING,2024-09-30,2027-06-25,326,Severe Asthma,Tezepelumab; Budesonide/formoterol; Albuterol/budesonide (AIRSUPRA®); Mannitol; Salbutamol,https://clinicaltrials.gov/study/NCT06473779
SNDX,Syndax Pharmaceuticals Inc,1782369754.806076,Oncology,NCT07211958,Study of Revumenib in Combination With Intensive Chemotherapy in Newly Diagnosed Acute Myeloid Leukemia (AML) With a NPM1 Mutation,RECRUITING,2025-11-25,2029-06,468,Acute Myeloid Leukemias,Revumenib; Placebo; Intensive Chemotherapy Regimen,https://clinicaltrials.gov/study/NCT07211958
HOPE,HOPE BANCORP INC,1785830808.804428,Oncology,NCT06835400,Oral Paclitaxel + Encequidar vs IV Paclitaxel in Treatment of HER2 Negative Metastatic Breast Cancer,NOT_YET_RECRUITING,2025-09,2028-04,340,Metastatic Breast Cancer,Paclitaxel Capsule; IV Paclitaxel; Encequidar tablet,https://clinicaltrials.gov/study/NCT06835400
IMCR,Immunocore Ltd,1847770432.9664574,Oncology,NCT06246149,Adjuvant Tebentafusp in High Risk Ocular Melanoma,RECRUITING,2024-11-11,2032-11,290,Uveal Melanoma,Tebentafusp,https://clinicaltrials.gov/study/NCT06246149
IMCR,Immunocore Ltd,1847770432.9664574,Melanoma,NCT06246149,Adjuvant Tebentafusp in High Risk Ocular Melanoma,RECRUITING,2024-11-11,2032-11,290,Uveal Melanoma,Tebentafusp,https://clinicaltrials.gov/study/NCT06246149
IMCR,Immunocore Ltd,1847770432.9664574,Melanoma,NCT06112314,IMC-F106C Regimen Versus Nivolumab Regimens in Previously Untreated Advanced Melanoma (PRISM-MEL-301),RECRUITING,2024-06-05,2027-10-16,680,Advanced Melanoma,Brenetafusp; Nivolumab; Nivolumab + Relatlimab,https://clinicaltrials.gov/study/NCT06112314
IMCR,Immunocore Ltd,1847770432.9664574,Oncology,NCT05549297,Tebentafusp Regimen Versus Investigator's Choice in Previously Treated Advanced Melanoma (TEBE-AM),RECRUITING,2022-12-19,2028-03,540,Advanced Melanoma,Tebentafusp; Tebentafusp with Pembrolizumab; Investigators Choice,https://clinicaltrials.gov/study/NCT05549297
IMCR,Immunocore Ltd,1847770432.9664574,Melanoma,NCT05549297,Tebentafusp Regimen Versus Investigator's Choice in Previously Treated Advanced Melanoma (TEBE-AM),RECRUITING,2022-12-19,2028-03,540,Advanced Melanoma,Tebentafusp; Tebentafusp with Pembrolizumab; Investigators Choice,https://clinicaltrials.gov/study/NCT05549297
LKFT,Lakefront Biotherapeutics NV,1869587278.5391617,Oncology,NCT06652633,Long-term Follow-up of Participants Treated With Galapagos Chimeric Antigen Receptor (CAR) T-cell Therapies,RECRUITING,2024-09-09,2039-07,546,Hematological Malignancies,GLPG CAR T-cell therapy,https://clinicaltrials.gov/study/NCT06652633
BHVN,Biohaven Ltd.,2025497080.162548,Oncology,NCT03970447,A Trial to Evaluate Multiple Regimens in Newly Diagnosed and Recurrent Glioblastoma,RECRUITING,2019-07-30,2028-06,2250,Glioblastoma,Temozolomide; Lomustine; Regorafenib; Radiation; Paxalisib; VAL-083,https://clinicaltrials.gov/study/NCT03970447
